StudentRef,final_cgpa,avg_gpa,min_gpa,total_semesters,failed_courses,final_major,proposed_major,math_score,english_score,composite_score,has_ajc_case,major_changed,successful_major,delayed_grad,first_year_gpa_x,struggling_y1_x,first_year_gpa_y,struggling_y1_y,first_year_gpa,struggling_y1,final_major_name,proposed_major_norm,final_major_norm,final_major_text
S03497264bc0da9a5,3.65,3.6466666666666665,3.38,180,0,2,[B.Sc.] Computer Science,85.0,100.0,90.83333333333333,0.0,0,1,1,,,,,3.6540000000000004,0.0,2,cs,cs,[B.Sc.] Computer Science
S03c9b60ffe971331,3.52,3.5149999999999997,3.0,304,0,2,[B.Sc.] Computer Science,100.0,85.0,90.0,0.0,0,1,1,,,,,3.4415151515151514,0.0,2,cs,cs,[B.Sc.] Computer Science
S03ff1c52a61cc6fc,3.47,3.472972972972973,3.25,333,0,0,[B.Sc.] Business Administration,90.0,85.0,87.5,0.0,0,1,1,,,,,3.45,0.0,5,ba,ba,[B.Sc.] Business Administration
S04ce5dbb6cd4c844,3.27,3.2656,3.11,125,0,0,[B.Sc.] Business Administration,90.0,90.0,90.0,0.0,0,1,1,,,,,3.191578947368421,0.0,5,ba,ba,[B.Sc.] Business Administration
S04d30a6f446f7bb6,3.25,3.2551724137931033,2.7,174,0,0,[B.Sc.] Business Administration,90.0,85.0,87.5,0.0,0,1,1,,,,,3.2041666666666666,0.0,5,ba,ba,[B.Sc.] Business Administration
S058d588e90689c7b,2.77,2.6025,2.13,80,0,5,[B.Sc.] Management Information Systems,90.0,100.0,90.0,0.0,0,0,1,,,,,2.5799999999999996,0.0,6,mis,mis,[B.Sc.] Management Information Systems
S05b6caa3c4ed9c1c,3.06,3.0595238095238093,2.89,84,0,4,[B.Sc.] Electrical and Electronic Engineering,100.0,85.0,93.8888888888889,0.0,0,1,1,,,,,3.1125,0.0,1,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S05e1766d9d91de46,3.21,3.2,2.63,80,0,0,[B.Sc.] Business Administration,100.0,100.0,100.0,0.0,0,1,1,,,,,3.1933333333333334,0.0,5,ba,ba,[B.Sc.] Business Administration
S05eb10dac2ff14b4,2.75,2.6774193548387095,2.44,217,0,5,[B.Sc.] Computer Engineering,100.0,85.0,90.55555555555556,0.0,0,0,1,,,,,2.6791666666666667,0.0,6,ce,ce,[B.Sc.] Computer Engineering
S060df0e6632becac,2.86,2.833513513513514,2.22,333,0,0,[B.Sc.] Business Administration,100.0,85.0,92.5,0.0,0,0,1,,,,,2.767878787878788,0.0,5,ba,ba,[B.Sc.] Business Administration
S061a156026c49303,3.4,3.3816216216216213,2.75,333,0,0,[B.Sc.] Business Administration,75.0,80.0,77.5,0.0,0,1,1,,,,,3.346285714285714,0.0,5,ba,ba,[B.Sc.] Business Administration
S066c9984b17371d9,3.35,3.3397297297297293,2.94,333,0,5,[B.Sc.] Management Information Systems,85.0,90.0,85.55555555555556,0.0,0,1,1,,,,,3.3459375,0.0,6,mis,mis,[B.Sc.] Management Information Systems
S069964274d35f1bf,3.86,3.8549999999999995,3.75,80,0,0,[B.Sc.] Business Administration,100.0,85.0,92.5,0.0,0,1,1,,,,,3.8433333333333333,0.0,5,ba,ba,[B.Sc.] Business Administration
S06e5242d6639ad78,3.28,3.2849999999999997,3.06,180,0,2,[B.Sc.] Computer Science,85.0,85.0,85.0,0.0,0,1,1,,,,,3.32,0.0,2,cs,cs,[B.Sc.] Computer Science
S06f8d389db3c06f2,3.7,3.693548387096774,3.38,186,0,4,[B.Sc.] Electrical and Electronic Engineering,100.0,80.0,91.1111111111111,0.0,0,1,1,,,,,3.6559999999999997,0.0,1,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S071f19925dc23d15,2.92,2.853589743589744,2.0,390,0,5,[B.Sc.] Computer Science,100.0,80.0,88.33333333333333,0.0,0,0,1,,,,,2.841388888888889,0.0,6,cs,cs,[B.Sc.] Computer Science
S07304927cbdbfcbf,3.76,3.0126666666666666,0.0,360,0,6,[B.Sc.] Mechanical Engineering,85.0,,85.0,0.0,0,1,1,,,,,2.9524390243902436,0.0,2,me,me,[B.Sc.] Mechanical Engineering
S073d8aa3e3844085,2.38,2.052222222222222,1.75,18,0,2,[B.Sc.] Computer Science,85.0,85.0,84.44444444444444,0.0,0,0,1,,,,,1.75,1.0,2,cs,cs,[B.Sc.] Computer Science
S073f73ac19778436,2.67,2.642105263157895,1.94,342,0,2,[B.Sc.] Computer Science,100.0,90.0,95.0,0.0,0,0,1,,,,,2.618181818181818,0.0,2,cs,cs,[B.Sc.] Computer Science
S07753a1329f2fd33,3.06,3.04,2.75,20,0,0,[B.Sc.] Business Administration,100.0,100.0,100.0,0.0,0,1,1,,,,,2.75,0.0,5,ba,ba,[B.Sc.] Business Administration
S080c07b812a9996c,3.59,3.5799999999999996,3.38,20,0,4,[B.Sc.] Electrical/Electronic Engineering,100.0,100.0,98.33333333333333,0.0,0,1,1,,,,,3.38,0.0,1,ee,ee,[B.Sc.] Electrical/Electronic Engineering
S083cd59bb39bd338,3.18,3.185714285714286,3.0,84,0,6,[B.Sc.] Mechanical Engineering,80.0,100.0,90.0,0.0,0,1,1,,,,,3.24375,0.0,2,me,me,[B.Sc.] Mechanical Engineering
S0877f1db5db965e4,3.11,3.092631578947368,2.63,76,0,2,[B.Sc.] Computer Science,100.0,100.0,95.0,0.0,0,1,1,,,,,3.0799999999999996,0.0,2,cs,cs,[B.Sc.] Computer Science
S08b86710b5b1e84d,2.62,2.615135135135135,2.28,333,0,0,[B.Sc.] Management Information Systems,100.0,85.0,90.0,0.0,0,0,1,,,,,2.616875,0.0,5,mis,mis,[B.Sc.] Management Information Systems
S08cc9fd055533bee,2.78,2.6543589743589746,1.75,858,0,0,[B.Sc.] Business Administration,90.0,90.0,90.0,0.0,0,0,1,,,,,2.714857142857143,0.0,5,ba,ba,[B.Sc.] Business Administration
S08e8d549b2cce033,2.09,1.9151219512195121,1.5,369,0,5,[B.Sc.] Business Administration,90.0,85.0,87.5,0.0,0,0,1,,,,,1.9270588235294115,1.0,6,ba,ba,[B.Sc.] Business Administration
S08f4ae073d206d06,3.48,3.49675,3.2,320,0,4,[B.Sc.] Electrical and Electronic Engineering,100.0,100.0,98.8888888888889,0.0,0,1,1,,,,,3.49675,0.0,1,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S090d00b6dc6e8b64,3.88,3.8795238095238096,3.82,84,0,2,[B.Sc.] Computer Science,100.0,100.0,96.66666666666667,0.0,0,1,1,,,,,3.895,0.0,2,cs,cs,[B.Sc.] Computer Science
S09c397adc7559d5c,3.8,3.7924324324324323,3.5,296,0,2,[B.Sc.] Computer Science,90.0,85.0,87.22222222222223,0.0,0,1,1,,,,,3.7805714285714282,0.0,2,cs,cs,[B.Sc.] Computer Science
S09f4fd668c5c47f5,1.74,1.4407692307692308,0.63,78,0,2,[B.Sc.] Computer Science,75.0,90.0,82.5,1.0,0,0,1,,,,,0.9077777777777777,1.0,2,cs,cs,[B.Sc.] Computer Science
S0a099cfff02b0e00,2.77,2.68125,2.11,320,0,2,[B.Sc.] Computer Science,90.0,75.0,84.16666666666667,0.0,0,0,1,,,,,2.6599999999999997,0.0,2,cs,cs,[B.Sc.] Computer Science
S0a277e321a152203,2.43,2.15,2.13,20,0,4,[B.Sc.] Electrical/Electronic Engineering,85.0,85.0,85.0,0.0,0,0,1,,,,,2.13,0.0,1,ee,ee,[B.Sc.] Electrical/Electronic Engineering
S0a41dffdb2fcf6f8,3.45,3.441111111111111,3.22,288,0,0,[B.Sc.] Business Administration,90.0,100.0,95.0,0.0,0,1,1,,,,,3.4357575757575756,0.0,5,ba,ba,[B.Sc.] Business Administration
S0a92af3aa3f7d237,3.24,3.2439473684210527,2.67,304,0,2,[B.Sc.] Computer Science,100.0,80.0,88.33333333333333,0.0,0,1,1,,,,,3.205151515151515,0.0,2,cs,cs,[B.Sc.] Computer Science
S0abbf2fdff2da5ce,2.87,2.8038709677419353,2.06,186,0,2,[B.Sc.] Business Administration,90.0,90.0,90.0,0.0,0,0,1,,,,,2.8,0.0,2,ba,ba,[B.Sc.] Business Administration
S0ac7ac7bf58857fc,3.24,3.2350000000000003,3.22,40,0,2,[B.Sc.] Computer Science,85.0,,75.0,0.0,0,1,1,,,,,3.25,0.0,2,cs,cs,[B.Sc.] Computer Science
S0aef8c0ca72b501d,3.44,3.4651351351351356,2.88,333,0,0,[B.Sc.] Business Administration,60.0,90.0,73.33333333333333,0.0,0,1,1,,,,,3.4915151515151517,0.0,5,ba,ba,[B.Sc.] Business Administration
S0affeab25c8ed11d,2.5,2.5149999999999997,2.28,40,0,2,[B.Sc.] Computer Engineering,90.0,90.0,91.1111111111111,0.0,0,0,1,,,,,2.75,0.0,2,ce,ce,[B.Sc.] Computer Engineering
S0b0f8768363d35fe,3.09,3.105,2.83,20,0,1,[B.Sc.] Computer Engineering,90.0,90.0,88.8888888888889,0.0,0,1,1,,,,,3.38,0.0,4,ce,ce,[B.Sc.] Computer Engineering
S0b2d92652f8aa7b8,2.91,2.9205405405405402,2.56,333,0,0,[B.Sc.] Business Administration,85.0,100.0,92.5,0.0,0,0,1,,,,,2.86125,0.0,5,ba,ba,[B.Sc.] Business Administration
S0be8d0afa69feedc,,,,10,0,0,[B.Sc.] Business Administration,80.0,100.0,90.0,0.0,0,0,1,,,,,,,5,ba,ba,[B.Sc.] Business Administration
S0c40ba4e04343869,3.54,3.528108108108108,3.17,296,0,5,[B.Sc.] Computer Science,100.0,100.0,98.8888888888889,0.0,0,1,1,,,,,3.529714285714286,0.0,6,cs,cs,[B.Sc.] Computer Science
S0c697754d1149853,3.21,3.2049999999999996,2.88,160,0,2,[B.Sc.] Computer Science,85.0,85.0,86.1111111111111,0.0,0,1,1,,,,,3.163333333333333,0.0,2,cs,cs,[B.Sc.] Computer Science
S0c7916fffffc2bfe,2.95,2.964516129032258,2.6,186,0,4,[B.Sc.] Electrical and Electronic Engineering,100.0,,100.0,0.0,0,0,1,,,,,2.92,0.0,1,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S0c9a35e68e26160d,2.75,2.725263157894737,1.5,342,0,0,[B.Sc.] Business Administration,90.0,90.0,90.0,0.0,0,0,1,,,,,2.729090909090909,0.0,5,ba,ba,[B.Sc.] Business Administration
S0ccec9dc1606a35a,2.74,2.75,2.5,20,0,4,[B.Sc.] Electrical/Electronic Engineering,100.0,100.0,97.22222222222223,0.0,0,0,1,,,,,3.0,0.0,1,ee,ee,[B.Sc.] Electrical/Electronic Engineering
S0cd9bf47942e5333,3.72,3.708421052631579,3.28,342,0,0,[B.Sc.] Business Administration,100.0,85.0,92.5,0.0,0,1,1,,,,,3.6796969696969692,0.0,5,ba,ba,[B.Sc.] Business Administration
S0cd9e0ba95928b9e,3.69,3.695238095238095,3.6,84,0,6,[B.Sc.] Mechanical Engineering,100.0,85.0,95.0,0.0,0,1,1,,,,,3.66875,0.0,2,me,me,[B.Sc.] Mechanical Engineering
S0ce29c7eab04a9c8,2.62,2.625,2.5,20,0,0,[B.Sc.] Business Administration,100.0,100.0,100.0,0.0,0,0,1,,,,,2.75,0.0,5,ba,ba,[B.Sc.] Business Administration
S0ce6cdbfe9d36b69,2.79,2.8,2.72,20,0,2,[B.Sc.] Computer Science,100.0,90.0,95.55555555555556,0.0,0,0,1,,,,,2.8,0.0,2,cs,cs,[B.Sc.] Computer Science
S0cfbfc8281748371,3.8,3.801219512195122,3.7,328,0,4,[B.Sc.] Electrical and Electronic Engineering,100.0,85.0,93.8888888888889,0.0,0,1,1,,,,,3.801388888888889,0.0,1,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S0d49e1245e7e04d6,3.46,3.4425,2.88,160,0,2,[B.Sc.] Computer Science,100.0,100.0,98.33333333333333,0.0,0,1,1,,,,,3.46,0.0,2,cs,cs,[B.Sc.] Computer Science
S0d8a96e094653852,3.2,3.204054054054054,2.75,370,0,0,[B.Sc.] Business Administration,65.0,80.0,72.5,0.0,0,1,1,,,,,3.1421875,0.0,5,ba,ba,[B.Sc.] Business Administration
S0dab0aa7cc03d296,3.79,3.7908333333333335,3.75,48,0,8,[LLB] Law with Public Policy,100.0,100.0,100.0,0.0,0,1,1,,,,,3.75,0.0,8,law,law,[LLB] Law with Public Policy
S0dbf20a1f7351ec5,2.75,2.7300000000000004,2.25,418,0,0,[B.Sc.] Business Administration,70.0,80.0,75.0,0.0,0,0,1,,,,,2.7496774193548386,0.0,5,ba,ba,[B.Sc.] Business Administration
S0dff71585e01294f,3.12,3.1100000000000003,3.0,20,0,0,[B.Sc.] Business Administration,100.0,100.0,100.0,0.0,0,1,1,,,,,3.0,0.0,5,ba,ba,[B.Sc.] Business Administration
S0e344e1bc86feca3,2.88,2.8899999999999997,2.78,20,0,2,[B.Sc.] Computer Science,100.0,100.0,97.22222222222223,0.0,0,0,1,,,,,3.0,0.0,2,cs,cs,[B.Sc.] Computer Science
S0e6fbb9b500dbf06,1.65,1.3900000000000001,1.28,20,0,5,[B.Sc.] Management Information Systems,90.0,90.0,86.1111111111111,0.0,0,0,1,,,,,1.5,1.0,6,mis,mis,[B.Sc.] Management Information Systems
S0f0555b17877b892,3.43,3.433333333333333,3.0,84,0,1,[B.Sc.] Computer Engineering,100.0,85.0,91.66666666666667,0.0,0,1,1,,,,,3.56875,0.0,4,ce,ce,[B.Sc.] Computer Engineering
S0f621da206aa4d5c,3.74,3.7299999999999995,3.63,20,0,0,[B.Sc.] Business Administration,90.0,90.0,86.66666666666667,0.0,0,1,1,,,,,3.63,0.0,5,ba,ba,[B.Sc.] Business Administration
S0f66246a16810686,2.42,2.1595121951219514,0.83,492,0,2,[B.Sc.] Computer Science,100.0,90.0,91.66666666666667,0.0,0,0,1,,,,,2.137714285714286,0.0,2,cs,cs,[B.Sc.] Computer Science
S0f723b6dc4dd9669,3.67,3.67,3.67,6,0,6,[B.Sc.] Mechanical Engineering,100.0,,100.0,0.0,0,1,0,,,,,3.67,0.0,2,me,me,[B.Sc.] Mechanical Engineering
S0f7784a212751484,2.77,2.382222222222222,2.0,18,0,2,[B.Sc.] Computer Science,90.0,90.0,89.16666666666667,0.0,0,0,1,,,,,2.0,0.0,2,cs,cs,[B.Sc.] Computer Science
S0f8b898936053bad,2.52,2.5137837837837838,2.25,333,0,2,[B.Sc.] Computer Science,60.0,90.0,75.55555555555556,0.0,0,0,1,,,,,2.500277777777778,0.0,2,cs,cs,[B.Sc.] Computer Science
S0fe2d44d37f2454c,3.73,3.7299999999999995,3.17,333,0,2,[B.Sc.] Management Information Systems,100.0,100.0,100.0,0.0,0,1,1,,,,,3.712424242424242,0.0,2,mis,mis,[B.Sc.] Management Information Systems
S108e7cce55c08ffa,2.84,2.8451219512195123,2.2,328,0,4,[B.Sc.] Electrical and Electronic Engineering,100.0,90.0,92.22222222222223,0.0,0,0,1,,,,,2.9347222222222222,0.0,1,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S109d3055d3dfeaa4,2.97,2.965,2.61,80,0,2,[B.Sc.] Computer Science,90.0,100.0,94.16666666666667,0.0,0,0,1,,,,,3.0833333333333335,0.0,2,cs,cs,[B.Sc.] Computer Science
S10fbd72987930bbb,3.1,3.08875,2.83,640,0,6,[B.Sc.] Mechanical Engineering,85.0,90.0,88.8888888888889,0.0,0,1,1,,,,,3.08875,0.0,2,me,me,[B.Sc.] Mechanical Engineering
S1124ac5c56ee9984,3.38,3.3714285714285714,3.2,84,0,6,[B.Sc.] Mechanical Engineering,100.0,100.0,97.77777777777777,0.0,0,1,1,,,,,3.33125,0.0,2,me,me,[B.Sc.] Mechanical Engineering
S11329b1ff90a7ef4,2.62,2.6030555555555557,2.21,252,0,8,[B.Sc.] Business Administration,100.0,90.0,95.0,0.0,0,0,1,,,,,2.4636,0.0,8,ba,ba,[B.Sc.] Business Administration
S11c23ba711693303,3.74,3.7285365853658536,3.4,328,0,4,[B.Sc.] Electrical and Electronic Engineering,100.0,90.0,95.0,0.0,0,1,1,,,,,3.7047222222222222,0.0,1,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S125050a064c01341,2.74,2.614102564102564,1.94,351,0,2,[B.Sc.] Business Administration,85.0,,88.75,0.0,0,0,1,,,,,2.612285714285714,0.0,2,ba,ba,[B.Sc.] Business Administration
S12554decbc8662d2,3.29,3.291891891891892,2.67,296,0,2,[B.Sc.] Computer Science,100.0,85.0,90.0,0.0,0,1,1,,,,,3.3115151515151515,0.0,2,cs,cs,[B.Sc.] Computer Science
S1295cf5cb7cecdd7,2.29,2.29,2.25,20,0,1,[B.Sc.] Computer Engineering,100.0,,88.75,0.0,0,0,1,,,,,2.25,0.0,4,ce,ce,[B.Sc.] Computer Engineering
S129a4ef1ad9c7551,2.87,2.871578947368421,2.5,342,0,0,[B.Sc.] Business Administration,80.0,90.0,85.0,0.0,0,0,1,,,,,2.836666666666667,0.0,5,ba,ba,[B.Sc.] Business Administration
S131712b69423896f,2.99,2.9925,2.39,160,0,2,[B.Sc.] Computer Science,90.0,90.0,88.33333333333333,0.0,0,0,1,,,,,2.8800000000000003,0.0,2,cs,cs,[B.Sc.] Computer Science
S134d58cc89e23f02,3.24,3.230833333333333,2.86,48,0,8,[LLB.] Law & Public Policy,80.0,90.0,85.0,0.0,0,1,1,,,,,3.75,0.0,8,[llb.] law & public policy,[llb.] law & public policy,[LLB.] Law & Public Policy
S13ab3c5f0536cdb8,3.09,3.0894594594594595,2.61,333,0,0,[B.Sc.] Business Administration,80.0,80.0,80.0,0.0,0,1,1,,,,,3.0906451612903223,0.0,5,ba,ba,[B.Sc.] Business Administration
S13bc66a22504ce96,3.19,3.1870967741935483,3.0,186,0,6,[B.Sc.] Mechanical Engineering,90.0,90.0,92.22222222222223,0.0,0,1,1,,,,,3.1839999999999997,0.0,2,me,me,[B.Sc.] Mechanical Engineering
S13c1ceb8a6e4f612,2.14,1.8990243902439026,1.3,369,0,6,[B.Sc.] Mechanical Engineering,70.0,,73.75,0.0,0,0,1,,,,,1.8674285714285714,1.0,2,me,me,[B.Sc.] Mechanical Engineering
S13dc40f1ac04db1b,3.32,3.319677419354839,3.0,186,0,0,[B.Sc.] Business Administration,80.0,100.0,83.33333333333333,0.0,0,1,1,,,,,3.31,0.0,5,ba,ba,[B.Sc.] Business Administration
S14670756726f2443,2.94,2.8884210526315792,2.25,342,0,0,[B.Sc.] Business Administration,75.0,90.0,82.5,0.0,0,0,1,,,,,2.866875,0.0,5,ba,ba,[B.Sc.] Business Administration
S14b4b23df90f1bea,3.09,3.0949999999999998,3.06,20,0,4,[B.Sc.] Electrical/Electronic Engineering,100.0,100.0,97.22222222222223,0.0,0,1,1,,,,,3.13,0.0,1,ee,ee,[B.Sc.] Electrical/Electronic Engineering
S15199399b0ef09ae,3.22,3.2205405405405405,2.61,333,0,0,[B.Sc.] Business Administration,90.0,90.0,88.33333333333333,0.0,0,1,1,,,,,3.17625,0.0,5,ba,ba,[B.Sc.] Business Administration
S151d2e5714d8fffd,2.47,2.396153846153846,1.94,390,0,5,[B.Sc.] Management Information Systems,75.0,90.0,82.5,0.0,0,0,1,,,,,2.3875,0.0,6,mis,mis,[B.Sc.] Management Information Systems
S152ef101ae001782,3.46,3.4693548387096773,3.1,186,0,4,[B.Sc.] Electrical and Electronic Engineering,100.0,85.0,93.8888888888889,0.0,0,1,1,,,,,3.4859999999999998,0.0,1,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S156f5f7e06926b78,2.68,2.6833333333333336,2.33,84,0,4,[B.Sc.] Mechanical Engineering,100.0,100.0,96.66666666666667,0.0,0,0,1,,,,,2.79375,0.0,1,me,me,[B.Sc.] Mechanical Engineering
S15aa8990fa552878,2.88,2.8899999999999997,2.78,20,0,2,[B.Sc.] Computer Science,100.0,90.0,90.83333333333333,0.0,0,0,1,,,,,3.0,0.0,2,cs,cs,[B.Sc.] Computer Science
S15e2fa190ad1eb7c,3.47,3.4534146341463416,2.94,328,0,6,[B.Sc.] Computer Engineering,85.0,,85.0,0.0,0,1,1,,,,,3.4754054054054055,0.0,2,ce,ce,[B.Sc.] Computer Engineering
S16378eb7a8b88428,2.75,2.7661290322580645,2.4,186,0,4,[B.Sc.] Electrical and Electronic Engineering,100.0,90.0,93.33333333333333,0.0,0,0,1,,,,,2.734,0.0,1,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S16419cd881a1e32c,1.91,1.6452941176470588,0.0,680,0,0,[B.Sc.] Business Administration,80.0,85.0,82.5,0.0,0,0,1,,,,,1.6593548387096773,1.0,5,ba,ba,[B.Sc.] Business Administration
S16c1aede618c85c4,2.84,2.826923076923077,2.44,351,0,2,[B.Sc.] Computer Science,75.0,85.0,79.44444444444444,0.0,0,0,1,,,,,2.796969696969697,0.0,2,cs,cs,[B.Sc.] Computer Science
S1719227d0a9a7207,2.18,2.011428571428571,1.44,105,0,0,[B.Sc.] Business Administration,100.0,100.0,100.0,0.0,0,0,1,,,,,1.949285714285714,1.0,5,ba,ba,[B.Sc.] Business Administration
S17fa07a998528fd2,2.99,2.9794736842105265,2.5,304,0,2,[B.Sc.] Computer Science,100.0,85.0,88.8888888888889,0.0,0,0,1,,,,,2.8915151515151516,0.0,2,cs,cs,[B.Sc.] Computer Science
S180c67ba533be43b,3.84,3.8285714285714287,3.6,336,0,1,[B.Sc.] Electrical and Electronic Engineering,100.0,90.0,92.22222222222223,0.0,0,1,1,,,,,3.832432432432433,0.0,4,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S185255a321bdc995,3.05,3.0685714285714285,2.25,168,0,5,[B.Sc.] Computer Science,85.0,,75.0,0.0,0,1,1,,,,,3.091666666666667,0.0,6,cs,cs,[B.Sc.] Computer Science
S18fe630fc6de089e,3.62,3.6100000000000003,3.5,20,0,1,[B.Sc.] Computer Engineering,100.0,100.0,100.0,0.0,0,1,1,,,,,3.5,0.0,4,ce,ce,[B.Sc.] Computer Engineering
S19082e945f736101,3.01,2.873157894736842,0.0,380,0,0,[B.Sc.] Business Administration,80.0,85.0,82.77777777777777,1.0,0,1,1,,,,,2.9890322580645163,0.0,5,ba,ba,[B.Sc.] Business Administration
S1918f7da930f8f54,2.18,2.0370588235294114,1.88,68,0,0,[B.Sc.] Business Administration,100.0,85.0,92.5,1.0,0,0,1,,,,,1.9753333333333332,1.0,5,ba,ba,[B.Sc.] Business Administration
S199667fdf08b2f78,3.1,3.084722222222222,2.38,288,0,2,[B.Sc.] Business Administration,80.0,85.0,82.5,0.0,0,1,1,,,,,3.084722222222222,0.0,2,ba,ba,[B.Sc.] Business Administration
S19a4889408182311,3.66,3.6525,3.5,80,0,3,[B.Sc.] Business Administration,100.0,85.0,92.5,0.0,0,1,1,,,,,3.683333333333333,0.0,3,ba,ba,[B.Sc.] Business Administration
S19a816968c7cc091,3.41,3.4074999999999998,3.13,80,0,2,[B.Sc.] Computer Science,100.0,90.0,96.66666666666667,0.0,0,1,1,,,,,3.45,0.0,2,cs,cs,[B.Sc.] Computer Science
S19e28b9b072e2b63,3.7,3.649230769230769,2.9,312,0,2,[B.Sc.] Business Administration,100.0,100.0,100.0,0.0,0,1,1,,,,,3.649230769230769,0.0,2,ba,ba,[B.Sc.] Business Administration
S19eeed941da151cf,2.94,2.943947368421053,2.39,304,0,2,[B.Sc.] Computer Science,100.0,90.0,94.16666666666667,0.0,0,0,1,,,,,2.9354545454545455,0.0,2,cs,cs,[B.Sc.] Computer Science
S1a1bc06d828efa20,3.25,3.2244444444444444,2.67,288,0,0,[B.Sc.] Business Administration,85.0,80.0,82.5,0.0,0,1,1,,,,,3.17375,0.0,5,ba,ba,[B.Sc.] Business Administration
S1a51fe1231ddcd23,3.72,3.3263157894736843,0.0,304,0,2,[B.Sc.] Computer Science,90.0,85.0,86.66666666666667,0.0,0,1,1,,,,,3.3028571428571425,0.0,2,cs,cs,[B.Sc.] Computer Science
S1a53127de933ad97,3.06,3.0358333333333336,2.33,288,0,0,[B.Sc.] Business Administration,80.0,,77.5,0.0,0,1,1,,,,,2.9928125,0.0,5,ba,ba,[B.Sc.] Business Administration
S1a8b4ded2efcbc68,2.68,2.5955,1.83,440,0,0,[B.Sc.] Business Administration,70.0,90.0,80.0,0.0,0,0,1,,,,,2.671176470588235,0.0,5,ba,ba,[B.Sc.] Business Administration
