StudentRef,final_cgpa,avg_gpa,last_gpa,total_semesters,final_major,proposed_major,math_score,english_score,composite_score,has_ajc_case,yeargroup,struggling,successful,major_changed,delayed_grad
S02947b236b94ce1f,2.42,2.4842857142857144,3.0,2,5,,60.0,70.0,65.0,0.0,2026,0,0,1,0
S02a65a034b2440fc,3.69,3.6887499999999998,4.0,1,0,,,,,0.0,2020,0,1,1,0
S02c2ed814859982e,2.75,2.6875,2.75,1,5,,,,,0.0,2019,0,0,1,0
S02dad1f8a3727dc8,3.71,3.5,3.5,0,2,,,,,0.0,2015,0,1,1,0
S033ee0a3d43f0abe,3.08,3.1045454545454545,3.75,2,0,,,,,0.0,2021,0,1,1,0
S03497264bc0da9a5,3.65,3.6466666666666665,3.61,2,2,,85.0,100.0,90.83333333333333,0.0,2026,0,1,1,0
S038629ff81040f38,3.18,3.1799999999999997,3.11,2,2,,,,100.0,0.0,2028,0,1,1,0
S0398f69ecdc86b5c,2.32,1.5,1.5,0,2,,,,,0.0,2015,0,0,1,0
S03a2fc5b6e2fa7ef,0.67,0.67,0.67,1,1,,,,,0.0,2025,1,0,1,0
S03a7dd0a38bbdd92,3.51,3.5075000000000003,3.39,2,0,,,,,0.0,2027,0,1,1,0
S03c9b60ffe971331,3.52,3.5175,3.63,2,2,,100.0,85.0,90.0,0.0,2025,0,1,1,0
S03fbbc47508644e0,0.0,0.0,0.0,1,10,,,,,0.0,2024,1,0,1,0
S03ff1c52a61cc6fc,3.47,3.477777777777778,3.25,2,0,,90.0,85.0,87.5,0.0,2025,0,1,1,0
S041fed76d0180d65,3.24,3.22125,3.25,1,6,,,,,0.0,2023,0,1,1,0
S04455bf81dd6bcd9,3.69,3.70375,4.0,1,1,,,,,0.0,2023,0,1,1,0
S0497d986778b74f7,2.94,2.985,3.0,1,2,,,,,0.0,2018,0,0,1,0
S04a8a0adc169528c,3.22,3.2275,3.38,2,2,,,,60.0,0.0,2025,0,1,1,0
S04ce5dbb6cd4c844,3.27,3.2600000000000002,3.2,2,0,,90.0,90.0,90.0,0.0,2026,0,1,1,0
S04d30a6f446f7bb6,3.25,3.263333333333333,3.6,2,0,,90.0,85.0,87.5,0.0,2026,0,1,1,0
S04d55add82b650ca,3.22,3.27,3.83,2,5,,,,,0.0,2022,0,1,1,0
S04f582be572dabfe,3.16,2.811111111111111,3.13,2,4,,,,,0.0,2022,0,1,1,0
S04f5ab171075326d,2.38,2.395,2.4,2,0,,,,,0.0,2026,0,0,1,0
S05382a66ab179321,3.45,3.4587499999999998,3.63,1,1,,,,,0.0,2022,0,1,1,0
S054a3f18a2a3eb26,3.98,3.95,4.0,1,0,,,,,0.0,2016,0,1,1,0
S05696f42268bd20c,3.25,3.31,3.13,2,5,,,,,0.0,2022,0,1,1,0
S05873ed56cd98d8e,3.1,3.085,2.79,2,9,,100.0,90.0,95.0,0.0,2028,0,1,1,0
S058d588e90689c7b,2.77,2.6025,3.33,2,5,,90.0,100.0,90.0,0.0,2027,0,0,1,0
S05b6caa3c4ed9c1c,3.06,3.0625,3.0,2,4,,100.0,85.0,93.8888888888889,0.0,2027,0,1,1,0
S05db033900c6a235,3.58,3.543,3.83,2,0,,,,,0.0,2021,0,1,1,0
S05e1766d9d91de46,3.21,3.2,3.28,2,0,,100.0,100.0,100.0,0.0,2027,0,1,1,0
S05eb10dac2ff14b4,2.75,2.837142857142857,3.0,2,5,,100.0,85.0,90.55555555555556,0.0,2026,0,0,1,0
S060591bfe89d4f7e,3.79,3.3944444444444444,4.0,2,2,,,,,0.0,2025,0,1,1,0
S0606990f18ce9e31,2.23,2.125,2.1,2,3,,,,,0.0,2026,0,0,1,0
S060df0e6632becac,2.86,2.931111111111111,3.25,2,0,,100.0,85.0,92.5,0.0,2024,0,0,1,0
S061a156026c49303,3.4,3.4655555555555555,3.83,2,0,,75.0,80.0,77.5,0.0,2023,0,1,1,0
S061ef32e387ea65d,2.98,2.6163636363636367,2.5,2,0,,,,,0.0,2022,0,0,1,0
S062a863eea913e8a,3.88,3.508,0.0,2,0,,,,,0.0,2021,0,1,1,0
S0649cc408d01a92b,3.43,3.4274999999999998,3.28,2,0,,,,,0.0,2027,0,1,1,0
S064c9fbc31153861,3.01,3.02125,3.88,1,0,,,,,0.0,2020,0,1,1,0
S066c9984b17371d9,3.35,3.371111111111111,3.38,2,5,,85.0,90.0,85.55555555555556,0.0,2025,0,1,1,0
S06729636df576a83,1.67,1.55,0.83,2,5,,100.0,85.0,91.66666666666667,0.0,2025,1,0,1,0
S06735f31ccb05659,3.49,3.5144444444444445,3.67,2,6,,,,,0.0,2021,0,1,1,0
S06932e8bf7bb2709,2.35,2.03,1.75,2,2,,,,,0.0,2021,0,0,1,0
S069964274d35f1bf,3.86,3.855,4.0,2,0,,100.0,85.0,92.5,0.0,2027,0,1,1,0
S06e5242d6639ad78,3.28,3.285,3.39,2,2,,85.0,85.0,85.0,0.0,2026,0,1,1,0
S06ee9f38ef863d07,3.68,3.6616666666666666,3.83,1,2,,,,,0.0,2018,0,1,1,0
S06f110fd8dcc3721,2.8,2.713333333333333,3.38,2,0,,,,,0.0,2025,0,0,1,0
S06f8d389db3c06f2,3.7,3.688333333333333,3.9,2,4,,100.0,80.0,91.1111111111111,0.0,2026,0,1,1,0
S06fa7d3f35e77cea,3.82,3.8249999999999997,3.9,2,5,,,,,0.0,2026,0,1,1,0
S06fab8257e1d49df,3.6,2.875,2.5,1,0,,,,,0.0,2016,0,1,1,0
S071f19925dc23d15,2.92,2.873,3.67,2,5,,100.0,80.0,88.33333333333333,0.0,2023,0,0,1,0
S0727b8bf7458ccb5,1.78,1.576,0.75,2,0,,,,,0.0,2027,1,0,1,0
S07304927cbdbfcbf,3.76,3.29,3.63,2,6,,85.0,,85.0,0.0,2024,0,1,1,0
S073d8aa3e3844085,2.38,2.09,2.43,2,2,,85.0,85.0,84.44444444444444,0.0,2028,0,0,1,0
S073f73ac19778436,2.67,2.6744444444444446,2.75,2,2,,100.0,90.0,95.0,0.0,2024,0,0,1,0
S0767734e25cdc5a0,3.38,3.375,3.5,2,0,,,,,0.0,2028,0,1,1,0
S07753a1329f2fd33,3.06,3.04,3.33,2,0,,100.0,100.0,100.0,0.0,2028,0,1,1,0
S0775ef8185010074,3.62,3.62,3.61,2,6,,,,,0.0,2028,0,1,1,0
S07870fee857fbb4a,1.72,1.24,0.0,2,5,,,,,0.0,2022,1,0,1,0
S078ea5213eb57d99,1.67,1.225,0.93,2,0,,,,,0.0,2027,1,0,1,0
S07a59ddd1343a129,2.65,2.54,1.75,2,0,,,,,0.0,2026,0,0,1,0
S07df034cde3c56b3,3.08,3.042222222222222,3.67,2,5,,,,,0.0,2019,0,1,1,0
S07fd61e0a8b711c4,2.99,2.9875,3.18,2,5,,,,,0.0,2027,0,0,1,0
S080c07b812a9996c,3.59,3.58,3.78,2,4,,100.0,100.0,98.33333333333333,0.0,2028,0,1,1,0
S081f44c75236eaa4,3.38,3.38,3.38,1,10,,,,,0.0,2025,0,1,1,0
S083cd59bb39bd338,3.18,3.1875,3.15,2,6,,80.0,100.0,90.0,0.0,2027,0,1,1,0
S083d30bd7bfadf7c,1.81,1.542,0.0,2,9,,,,,0.0,2027,1,0,1,0
S0850ae3c97767f44,2.85,2.77,3.0,2,0,,,,,0.0,2024,0,0,1,0
S08727a6da860b1c4,2.92,3.0700000000000003,3.63,1,0,,,,,0.0,2018,0,0,1,0
S0877f1db5db965e4,3.11,3.0949999999999998,3.5,2,2,,100.0,100.0,95.0,0.0,2027,0,1,1,0
S08891e1f7b261641,2.97,2.4441666666666664,3.33,2,0,,,,,0.0,2019,0,0,1,0
S089e85c637908d0d,3.68,3.7222222222222223,3.92,2,2,,,,,0.0,2021,0,1,1,0
S08aad1835af6aaa2,3.01,3.02,3.5,2,0,,,,,0.0,2025,0,1,1,0
S08b1acd8bd4aba7f,3.16,3.2055555555555557,2.75,2,4,,,,,0.0,2020,0,1,1,0
S08b86710b5b1e84d,2.62,2.6199999999999997,3.0,2,0,,100.0,85.0,90.0,0.0,2025,0,0,1,0
S08cc9fd055533bee,2.78,2.6254545454545455,3.5,2,0,,90.0,90.0,90.0,0.0,2023,0,0,1,0
S08d63f491bde9d0e,2.95,3.1275,3.25,1,0,,,,,0.0,2017,0,0,1,0
S08e8d549b2cce033,2.09,1.9200000000000002,2.1,2,5,,90.0,85.0,87.5,0.0,2025,0,0,1,0
S08f4ae073d206d06,3.48,3.4875,3.38,1,4,,100.0,100.0,98.8888888888889,0.0,2023,0,1,1,0
S08ff416d8a9d7a4e,2.46,2.1733333333333333,2.63,2,0,,,,,1.0,2024,0,0,1,0
S090b75dafef4cdf0,3.68,3.688888888888889,3.33,2,6,,,,,0.0,2021,0,1,1,0
S090d00b6dc6e8b64,3.88,3.8825,3.82,2,2,,100.0,100.0,96.66666666666667,0.0,2027,0,1,1,0
S092c046d657922a4,3.63,3.6,3.7,1,0,,,,,0.0,2017,0,1,1,0
S092c57993b830143,0.0,0.0,0.0,1,10,,,,,0.0,2024,1,0,1,0
S093b143d714609bb,1.87,1.8920000000000001,2.83,2,0,,,,,0.0,2027,1,0,1,0
S093bceef9354a5e0,2.27,2.258,1.75,2,0,,,,,0.0,2023,0,0,1,0
S095482c04bf4e30e,2.63,2.94,2.88,1,0,,,,,0.0,2016,0,0,1,0
S0993c1aea1cd71a0,3.88,3.88,3.88,0,10,,,,,0.0,2021,0,1,1,0
S09b948ba35d3dd11,3.29,3.3,3.2,2,4,,,,,0.0,2027,0,1,1,0
S09c397adc7559d5c,3.8,3.80875,4.0,2,2,,90.0,85.0,87.22222222222223,0.0,2024,0,1,1,0
S09e68568f9c77cb9,2.88,2.88,2.88,0,2,,,,,0.0,2021,0,0,1,0
S09f4fd668c5c47f5,1.74,1.4666666666666668,2.64,2,2,,75.0,90.0,82.5,1.0,2027,1,0,1,0
S09fee132ea247e11,2.88,2.7824999999999998,2.75,1,0,,,,,0.0,2017,0,0,1,0
S0a099cfff02b0e00,2.77,2.68125,2.8,2,2,,90.0,75.0,84.16666666666667,0.0,2025,0,0,1,0
S0a1048bd6cebfedf,3.13,3.1225,3.44,2,2,,,,,0.0,2027,0,1,1,0
S0a277e321a152203,2.43,2.15,2.17,2,4,,85.0,85.0,85.0,0.0,2028,0,0,1,0
S0a41dffdb2fcf6f8,3.45,3.45125,3.5,2,0,,90.0,100.0,95.0,0.0,2024,0,1,1,0
S0a575a00438b167f,1.77,1.6,0.0,2,0,,,,,0.0,2027,1,0,1,0
S0a71bb9edb02e129,2.55,2.311818181818182,3.0,2,0,,,,,0.0,2023,0,0,1,0
S0a8ca52dc4305d7e,3.33,3.13,2.88,1,5,,,,,0.0,2017,0,1,1,0
S0a92af3aa3f7d237,3.24,3.24125,3.38,2,2,,100.0,80.0,88.33333333333333,0.0,2025,0,1,1,0
S0a9e6f77e157553a,3.43,3.43625,3.63,2,0,,,90.0,90.0,0.0,2025,0,1,1,0
S0abbf2fdff2da5ce,2.87,2.8033333333333332,3.11,2,2,,90.0,90.0,90.0,0.0,2026,0,0,1,0
S0ac7ac7bf58857fc,3.24,3.2350000000000003,3.22,2,2,,85.0,,75.0,0.0,2028,0,1,1,0
S0aef8c0ca72b501d,3.44,3.3822222222222225,3.33,2,0,,60.0,90.0,73.33333333333333,0.0,2024,0,1,1,0
S0affeab25c8ed11d,2.5,2.5149999999999997,2.28,2,2,,90.0,90.0,91.1111111111111,0.0,2028,0,0,1,0
S0b0f8768363d35fe,3.09,3.105,2.83,2,1,,90.0,90.0,88.8888888888889,0.0,2028,0,1,1,0
S0b236bdeced5938f,3.03,2.855,2.83,2,6,,100.0,100.0,95.83333333333333,0.0,2028,0,1,1,0
S0b2d92652f8aa7b8,2.91,2.964444444444444,3.0,2,0,,85.0,100.0,92.5,0.0,2024,0,0,1,0
S0b62231f49e54ba1,3.48,3.48375,3.5,2,0,,,,,0.0,2025,0,1,1,0
S0b67c0738d714d1b,2.74,2.73,2.83,2,6,,,,92.5,0.0,2028,0,0,1,0
S0b81abb678a67685,3.87,3.9416666666666664,4.0,1,2,,,,,0.0,2018,0,1,1,0
S0be8d0afa69feedc,2.47,2.091,0.0,2,0,,,100.0,100.0,0.0,2024,0,0,1,0
S0befa6db3314dbf8,3.39,3.575,3.5,1,0,,,,,0.0,2017,0,1,1,0
S0c074a6194075595,2.66,2.665,2.39,2,2,,100.0,100.0,95.0,0.0,2027,0,0,1,0
S0c20848362c9c26b,2.96,2.995,2.55,2,0,,,,,0.0,2027,0,0,1,0
S0c40ba4e04343869,3.54,3.54375,3.5,2,5,,100.0,100.0,98.8888888888889,0.0,2024,0,1,1,0
S0c5962cfdb63028f,3.5,3.5,3.5,1,10,,,,,0.0,2024,0,1,1,0
S0c5fab5d4fc153ab,2.75,2.557142857142857,3.25,2,0,,,,,0.0,2025,0,0,1,0
S0c697754d1149853,3.21,3.205,3.44,2,2,,85.0,85.0,86.1111111111111,0.0,2027,0,1,1,0
S0c7916fffffc2bfe,2.95,2.9583333333333335,2.6,2,4,,100.0,,100.0,0.0,2026,0,0,1,0
S0c7f8dd18895d778,2.8,2.659090909090909,3.0,2,0,,,,,0.0,2022,0,0,1,0
S0c83b2726c438018,2.76,2.7800000000000002,2.56,2,0,,,,,0.0,2028,0,0,1,0
S0c8c647b561e9b85,3.36,3.41,3.5,1,0,,,,,0.0,2017,0,1,1,0
S0c9a35e68e26160d,2.75,2.6533333333333333,3.5,2,0,,90.0,90.0,90.0,0.0,2024,0,0,1,0
S0ccec9dc1606a35a,2.74,2.75,2.5,2,4,,100.0,100.0,97.22222222222223,0.0,2028,0,0,1,0
S0cd50206cd40917d,3.29,3.328888888888889,3.25,2,6,,,,,0.0,2021,0,1,1,0
S0cd8cbda6e48de81,3.63,3.6275,3.75,1,4,,,,,0.0,2022,0,1,1,0
S0cd9bf47942e5333,3.72,3.7466666666666666,3.83,2,0,,100.0,85.0,92.5,0.0,2024,0,1,1,0
S0cd9e0ba95928b9e,3.69,3.7,3.6,2,6,,100.0,85.0,95.0,0.0,2027,0,1,1,0
S0ce29c7eab04a9c8,2.62,2.625,2.5,2,0,,100.0,100.0,100.0,0.0,2028,0,0,1,0
S0ce5fb55a516b3ce,2.43,2.2944444444444443,2.5,2,2,,,,,1.0,2023,0,0,1,0
S0ce6cdbfe9d36b69,2.79,2.8,2.72,1,2,,100.0,90.0,95.55555555555556,0.0,2023,0,0,1,0
S0cf61077f8f0796e,2.76,2.841,2.83,2,0,,,,,0.0,2019,0,0,1,0
S0cfbfc8281748371,3.8,3.79875,3.75,2,4,,100.0,85.0,93.8888888888889,0.0,2025,0,1,1,0
S0d110dbdd8d4c770,2.88,2.976,3.5,2,0,,,,,0.0,2017,0,0,1,0
S0d3ef2d82cc27b15,2.62,2.5033333333333334,2.5,1,0,,,,,0.0,2016,0,0,1,0
S0d479aff3dee9ea9,3.49,3.49,3.63,1,1,,,,,0.0,2022,0,1,1,0
S0d49e1245e7e04d6,3.46,3.4425,3.61,2,2,,100.0,100.0,98.33333333333333,0.0,2027,0,1,1,0
S0d6cee51300d8214,2.8,2.8277777777777775,3.63,2,1,,,,,0.0,2020,0,0,1,0
S0d7e2359a18a36da,2.7,2.558888888888889,2.8,2,0,,,,,0.0,2025,0,0,1,0
S0d83775a46ad6e4d,3.91,3.875,4.0,1,2,,,,,0.0,2016,0,1,1,0
S0d8a96e094653852,3.2,3.243,3.5,2,0,,65.0,80.0,72.5,0.0,2024,0,1,1,0
S0dab0aa7cc03d296,3.8,3.8049999999999997,3.86,2,9,,100.0,100.0,100.0,0.0,2028,0,1,1,0
S0db10ac1abdb585f,2.09,2.0166666666666666,2.5,2,0,,,,,0.0,2022,0,0,1,0
S0dba0bff92a6465f,3.69,3.6975,4.0,1,0,,,,,1.0,2021,0,1,1,0
S0dbf20a1f7351ec5,2.75,2.726363636363636,2.25,2,0,,,80.0,80.0,0.0,2024,0,0,1,0
S0ddd9e8bcb82335a,3.82,3.816,3.7,2,6,,,,,0.0,2026,0,1,1,0
S0de3c584c163e053,1.89,1.7225,1.89,2,0,,,,,0.0,2027,1,0,1,0
S0dff71585e01294f,3.12,3.1100000000000003,3.22,2,0,,100.0,100.0,100.0,0.0,2028,0,1,1,0
S0e077914f084a030,3.07,2.9625,3.25,1,4,,,,,0.0,2023,0,1,1,0
S0e25632b80aebddd,2.37,0.8966666666666666,0.0,1,2,,,,,0.0,2016,0,0,1,0
S0e344e1bc86feca3,2.88,2.8899999999999997,2.78,2,2,,100.0,100.0,97.22222222222223,0.0,2028,0,0,1,0
S0e355b9ece6cb0af,3.19,3.19875,3.67,1,5,,,,,0.0,2021,0,1,1,0
S0e428c5da70eabcf,2.65,2.48,3.0,2,5,,,,,0.0,2015,0,0,1,0
S0e6fbb9b500dbf06,1.65,1.3900000000000001,1.28,2,5,,90.0,90.0,86.1111111111111,0.0,2028,1,0,1,0
S0ea2555265151f57,3.07,3.1300000000000003,2.88,1,2,,,,,0.0,2018,0,1,1,0
S0ea36c7545f7af8b,2.51,2.551111111111111,1.88,2,6,,,,,0.0,2020,0,0,1,0
S0eb3220f4c29ec9f,2.86,2.842,3.25,2,5,,,,,0.0,2027,0,0,1,0
S0ebdac99c5d28686,3.57,3.563333333333333,3.7,2,3,,,,,0.0,2026,0,1,1,0
S0eff6a59d4d15805,3.09,3.085,3.17,2,0,,,,,0.0,2028,0,1,1,0
S0f0555b17877b892,3.43,3.44,3.3,2,1,,100.0,85.0,91.66666666666667,0.0,2027,0,1,1,0
S0f15989a4e6e58d2,2.88,2.8899999999999997,2.78,2,1,,100.0,90.0,96.66666666666667,0.0,2028,0,0,1,0
S0f1b57bdfaef575e,2.47,2.4850000000000003,2.22,2,2,,100.0,85.0,91.66666666666667,0.0,2028,0,0,1,0
S0f2a5222e731ca9a,3.64,3.6275,3.63,1,5,,,,,0.0,2017,0,1,1,0
S0f3fd752f9c45eb3,2.85,2.6722222222222225,2.5,1,1,,,,,0.0,2022,0,0,1,0
S0f5b0baf4f707b63,2.62,2.6399999999999997,2.5,2,2,,,,,0.0,2020,0,0,1,0
S0f621da206aa4d5c,3.74,3.73,3.83,2,0,,90.0,90.0,86.66666666666667,0.0,2028,0,1,1,0
S0f66246a16810686,2.42,2.3191666666666664,2.5,2,2,,100.0,90.0,91.66666666666667,0.0,2024,0,0,1,0
S0f6eb2deb54573c4,2.82,2.875,3.0,1,0,,,,,0.0,2016,0,0,1,0
S0f723b6dc4dd9669,3.67,3.67,3.67,1,6,,100.0,,100.0,0.0,2024,0,1,1,0
S0f725033c01b97cd,3.42,3.36875,2.75,2,0,,100.0,100.0,100.0,0.0,2025,0,1,1,0
S0f7784a212751484,2.77,2.4299999999999997,2.86,2,2,,90.0,90.0,89.16666666666667,0.0,2028,0,0,1,0
S0f8b898936053bad,2.52,2.5644444444444443,2.63,2,2,,60.0,90.0,75.55555555555556,0.0,2023,0,0,1,0
S0fa6e1905fd9c25d,2.1,2.084,2.5,2,2,,,,,0.0,2022,0,0,1,0
S0fb55a79225e4d49,3.11,3.11,3.88,1,0,,,,,0.0,2020,0,1,1,0
S0fd3dd7a9f8484bd,3.41,3.1,3.2,1,5,,,,,0.0,2016,0,1,1,0
S0fe2d44d37f2454c,3.73,3.7255555555555557,3.75,2,2,,100.0,100.0,100.0,0.0,2024,0,1,1,0
S0fe75d112e01f1d6,1.79,1.7833333333333332,1.36,1,5,,,,,0.0,2020,1,0,1,0
S10577c194ef5f42c,2.93,2.92,2.75,1,0,,,,,0.0,2018,0,0,1,0
S105c2e6b1de51f89,3.32,3.44,3.5,1,2,,,,,0.0,2016,0,1,1,0
S10802e44dbe13ebc,2.74,2.7266666666666666,2.5,2,6,,,,,0.0,2021,0,0,1,0
S1081b6470cfdb34d,3.16,3.092222222222222,3.25,2,0,,,,,0.0,2022,0,1,1,0
S1086e2dbb4102a32,2.59,2.565,3.0,2,2,,,,,0.0,2028,0,0,1,0
S108e7cce55c08ffa,2.84,2.8625,3.25,2,4,,100.0,90.0,92.22222222222223,0.0,2025,0,0,1,0
S108f689d85389331,3.89,3.8925,3.8,2,4,,,,,0.0,2027,0,1,1,0
S10996707fe6dc2e9,2.65,2.4875,2.0,2,0,,,,,0.0,2018,0,0,1,0
S109c6005789867d8,3.39,3.39375,3.67,1,2,,,,,0.0,2023,0,1,1,0
S109d3055d3dfeaa4,2.97,2.965,3.17,2,2,,90.0,100.0,94.16666666666667,0.0,2027,0,0,1,0
S10a2f50c488fc762,2.12,2.125,2.0,2,5,,,,,0.0,2028,0,0,1,0
S10b32065fd6a64ac,2.63,2.63,2.63,0,6,,,,,0.0,2023,0,0,1,0
S10c62c4ef0b6781d,2.49,2.338888888888889,2.13,2,0,,,,,0.0,2019,0,0,1,0
S10d9f80b06a318ec,2.59,2.6616666666666666,3.13,1,5,,,,,0.0,2018,0,0,1,0
S10ed6680ba2878e2,2.49,2.3944444444444444,2.5,2,2,,,,,0.0,2025,0,0,1,0
S10f660c5a276f50e,3.19,3.2270000000000003,3.5,2,1,,,,,0.0,2019,0,1,1,0
S10fbd72987930bbb,3.1,3.10375,3.5,1,6,,85.0,90.0,88.8888888888889,0.0,2023,0,1,1,0
S11112df598853db3,3.28,3.13,3.38,1,0,,,,,0.0,2016,0,1,1,0
S1111e8e2a9aa3121,2.96,2.8833333333333333,2.88,2,5,,,,,0.0,2019,0,0,1,0
S11136f3fb8b9e957,3.41,3.375,3.5,1,0,,,,,0.0,2016,0,1,1,0
S1124ac5c56ee9984,3.38,3.38,3.2,2,6,,100.0,100.0,97.77777777777777,0.0,2027,0,1,1,0
S11329b1ff90a7ef4,2.51,2.4828571428571427,2.33,2,9,,100.0,90.0,95.0,0.0,2026,0,0,1,0
S1147edb2fd3e5408,1.29,1.2325,1.07,2,0,,,,,0.0,2027,1,0,1,0
S1157214051b446ad,3.88,3.9466666666666668,4.0,1,2,,,,,0.0,2018,0,1,1,0
S116993845c4a7bc0,2.95,2.973333333333333,2.63,1,0,,,,,0.0,2018,0,0,1,0
S1180df044de91bbd,1.97,1.6320000000000001,0.0,2,0,,,80.0,70.0,0.0,2027,1,0,1,0
S119edd4b1263bd5b,3.19,3.1950000000000003,2.89,2,2,,,,,0.0,2027,0,1,1,0
S11a9e664507939a6,3.22,3.225,3.33,1,5,,,,,0.0,2022,0,1,1,0
S11ae4f861282c8aa,3.64,3.63125,3.5,1,4,,,,,0.0,2022,0,1,1,0
S11c23ba711693303,3.74,3.73875,3.88,2,4,,100.0,90.0,95.0,0.0,2025,0,1,1,0
S11c3f1461113a825,3.68,3.655,3.33,1,0,,,,,0.0,2018,0,1,1,0
S11ccd012c0d81ee4,3.35,3.4683333333333333,3.75,1,0,,,,,0.0,2018,0,1,1,0
S12221d8ab63766f6,2.64,2.5109090909090908,3.25,2,0,,,,,0.0,2020,0,0,1,0
S12296f3369a69d8e,2.23,1.865,2.75,2,5,,,,,0.0,2026,0,0,1,0
S1229c7d7c75c5f17,3.86,3.86375,4.0,1,2,,,,,0.0,2020,0,1,1,0
S123816f30d1573b8,2.8,2.775,3.0,2,0,,,,,0.0,2018,0,0,1,0
